fips,year,period,periodName,value,seriesID
01003,2010,M08,August,9.3,LAUCN010030000000003
01003,2010,M07,July,9,LAUCN010030000000003
01003,2010,M06,June,9.2,LAUCN010030000000003
01003,2010,M05,May,9.2,LAUCN010030000000003
01003,2010,M04,April,9.9,LAUCN010030000000003
01003,2010,M03,March,11.3,LAUCN010030000000003
01003,2010,M02,February,12.2,LAUCN010030000000003
01003,2010,M01,January,12.3,LAUCN010030000000003
01003,2009,M12,December,11.2,LAUCN010030000000003
01003,2009,M11,November,10.7,LAUCN010030000000003
01003,2009,M10,October,10.8,LAUCN010030000000003
01003,2009,M09,September,10.3,LAUCN010030000000003
01003,2009,M08,August,10.1,LAUCN010030000000003
01003,2009,M07,July,9.9,LAUCN010030000000003
01003,2009,M06,June,9.8,LAUCN010030000000003
01003,2009,M05,May,8.9,LAUCN010030000000003
01003,2009,M04,April,8.3,LAUCN010030000000003
01003,2009,M03,March,9.1,LAUCN010030000000003
01003,2009,M02,February,9.5,LAUCN010030000000003
01003,2009,M01,January,8.5,LAUCN010030000000003
01003,2008,M12,December,6.8,LAUCN010030000000003
01003,2008,M11,November,5.6,LAUCN010030000000003
01003,2008,M10,October,5.2,LAUCN010030000000003
01003,2008,M09,September,4.8,LAUCN010030000000003
01003,2008,M08,August,5,LAUCN010030000000003
01003,2008,M07,July,4.7,LAUCN010030000000003
01003,2008,M06,June,4.6,LAUCN010030000000003
01003,2008,M05,May,3.7,LAUCN010030000000003
01003,2008,M04,April,3.1,LAUCN010030000000003
01003,2008,M03,March,3.8,LAUCN010030000000003
01003,2008,M02,February,4.1,LAUCN010030000000003
01003,2008,M01,January,4.1,LAUCN010030000000003
01003,2007,M12,December,3.6,LAUCN010030000000003
01003,2007,M11,November,3.1,LAUCN010030000000003
01003,2007,M10,October,2.9,LAUCN010030000000003
01003,2007,M09,September,3.2,LAUCN010030000000003
01003,2007,M08,August,3.3,LAUCN010030000000003
01003,2007,M07,July,3.1,LAUCN010030000000003
01003,2007,M06,June,3.1,LAUCN010030000000003
01003,2007,M05,May,2.5,LAUCN010030000000003
01003,2007,M04,April,2.4,LAUCN010030000000003
01003,2007,M03,March,3,LAUCN010030000000003
01003,2007,M02,February,3.5,LAUCN010030000000003
01003,2007,M01,January,3.5,LAUCN010030000000003
01015,2016,M12,December,6.1,LAUCN010150000000003
01015,2016,M11,November,6,LAUCN010150000000003
01015,2016,M10,October,6.4,LAUCN010150000000003
01015,2016,M09,September,6.4,LAUCN010150000000003
01015,2016,M08,August,6.6,LAUCN010150000000003
01015,2016,M07,July,6.7,LAUCN010150000000003
01015,2016,M06,June,7.1,LAUCN010150000000003
01015,2016,M05,May,6.1,LAUCN010150000000003
01015,2016,M04,April,5.9,LAUCN010150000000003
01015,2016,M03,March,6.8,LAUCN010150000000003
01015,2016,M02,February,7.1,LAUCN010150000000003
01015,2016,M01,January,7.2,LAUCN010150000000003
01015,2015,M12,December,6.6,LAUCN010150000000003
01015,2015,M11,November,6.8,LAUCN010150000000003
01015,2015,M10,October,7,LAUCN010150000000003
01015,2015,M09,September,6.9,LAUCN010150000000003
01015,2015,M08,August,7.4,LAUCN010150000000003
01015,2015,M07,July,7.5,LAUCN010150000000003
01015,2015,M06,June,7.6,LAUCN010150000000003
01015,2015,M05,May,6.9,LAUCN010150000000003
01015,2015,M04,April,6.3,LAUCN010150000000003
01015,2015,M03,March,6.8,LAUCN010150000000003
01015,2015,M02,February,7.2,LAUCN010150000000003
01015,2015,M01,January,7.4,LAUCN010150000000003
01015,2014,M12,December,6.6,LAUCN010150000000003
01015,2014,M11,November,6.9,LAUCN010150000000003
01015,2014,M10,October,7.2,LAUCN010150000000003
01015,2014,M09,September,7.4,LAUCN010150000000003
01015,2014,M08,August,8.1,LAUCN010150000000003
01015,2014,M07,July,8.6,LAUCN010150000000003
01015,2014,M06,June,8.6,LAUCN010150000000003
01015,2014,M05,May,8,LAUCN010150000000003
01015,2014,M04,April,7.5,LAUCN010150000000003
01015,2014,M03,March,8.7,LAUCN010150000000003
01015,2014,M02,February,9.1,LAUCN010150000000003
01015,2014,M01,January,9,LAUCN010150000000003
01015,2013,M12,December,8.2,LAUCN010150000000003
01015,2013,M11,November,8.3,LAUCN010150000000003
01015,2013,M10,October,9,LAUCN010150000000003
01015,2013,M09,September,9,LAUCN010150000000003
01015,2013,M08,August,9.3,LAUCN010150000000003
01015,2013,M07,July,9.7,LAUCN010150000000003
01015,2013,M06,June,9.4,LAUCN010150000000003
01015,2013,M05,May,8.3,LAUCN010150000000003
01015,2013,M04,April,7.6,LAUCN010150000000003
01015,2013,M03,March,8,LAUCN010150000000003
01015,2013,M02,February,9,LAUCN010150000000003
01015,2013,M01,January,9.3,LAUCN010150000000003
01015,2012,M12,December,8.1,LAUCN010150000000003
01015,2012,M11,November,7.7,LAUCN010150000000003
01015,2012,M10,October,8.5,LAUCN010150000000003
01015,2012,M09,September,8.6,LAUCN010150000000003
01015,2012,M08,August,9.5,LAUCN010150000000003
01015,2012,M07,July,10.3,LAUCN010150000000003
01015,2012,M06,June,10,LAUCN010150000000003
01015,2012,M05,May,8.7,LAUCN010150000000003
01015,2012,M04,April,7.9,LAUCN010150000000003
01015,2012,M03,March,8.7,LAUCN010150000000003
01015,2012,M02,February,9.2,LAUCN010150000000003
01015,2012,M01,January,8.9,LAUCN010150000000003
01015,2011,M12,December,8.6,LAUCN010150000000003
01015,2011,M11,November,8.7,LAUCN010150000000003
01015,2011,M10,October,9.6,LAUCN010150000000003
01015,2011,M09,September,10.2,LAUCN010150000000003
01015,2011,M08,August,10.7,LAUCN010150000000003
01015,2011,M07,July,11.1,LAUCN010150000000003
01015,2011,M06,June,11.3,LAUCN010150000000003
01015,2011,M05,May,10.5,LAUCN010150000000003
01015,2011,M04,April,10.3,LAUCN010150000000003
01015,2011,M03,March,10.5,LAUCN010150000000003
01015,2011,M02,February,11.2,LAUCN010150000000003
01015,2011,M01,January,11.4,LAUCN010150000000003
01015,2010,M12,December,10.5,LAUCN010150000000003
01015,2010,M11,November,10.7,LAUCN010150000000003
01015,2010,M10,October,10.6,LAUCN010150000000003
01015,2010,M09,September,10.5,LAUCN010150000000003
01015,2010,M08,August,10.9,LAUCN010150000000003
01015,2010,M07,July,11.1,LAUCN010150000000003
01015,2010,M06,June,11.3,LAUCN010150000000003
01015,2010,M05,May,10.8,LAUCN010150000000003
01015,2010,M04,April,11.4,LAUCN010150000000003
01015,2010,M03,March,12.5,LAUCN010150000000003
01015,2010,M02,February,12.9,LAUCN010150000000003
01015,2010,M01,January,13.2,LAUCN010150000000003
01015,2009,M12,December,11.4,LAUCN010150000000003
01015,2009,M11,November,11.4,LAUCN010150000000003
01015,2009,M10,October,12.3,LAUCN010150000000003
01015,2009,M09,September,11.6,LAUCN010150000000003
01015,2009,M08,August,11.9,LAUCN010150000000003
01015,2009,M07,July,11.8,LAUCN010150000000003
01015,2009,M06,June,11.9,LAUCN010150000000003
01015,2009,M05,May,10.7,LAUCN010150000000003
01015,2009,M04,April,10.6,LAUCN010150000000003
01015,2009,M03,March,10.4,LAUCN010150000000003
01015,2009,M02,February,10.2,LAUCN010150000000003
01015,2009,M01,January,9.2,LAUCN010150000000003
01015,2008,M12,December,7.7,LAUCN010150000000003
01015,2008,M11,November,7,LAUCN010150000000003
01015,2008,M10,October,6.9,LAUCN010150000000003
01015,2008,M09,September,5.9,LAUCN010150000000003
01015,2008,M08,August,6.1,LAUCN010150000000003
01015,2008,M07,July,6.2,LAUCN010150000000003
01015,2008,M06,June,5.9,LAUCN010150000000003
01015,2008,M05,May,4.8,LAUCN010150000000003
01015,2008,M04,April,3.9,LAUCN010150000000003
01015,2008,M03,March,4.5,LAUCN010150000000003
01015,2008,M02,February,4.7,LAUCN010150000000003
01015,2008,M01,January,4.5,LAUCN010150000000003
01015,2007,M12,December,4.2,LAUCN010150000000003
01015,2007,M11,November,4.2,LAUCN010150000000003
01015,2007,M10,October,3.8,LAUCN010150000000003
01015,2007,M09,September,4,LAUCN010150000000003
01015,2007,M08,August,4.1,LAUCN010150000000003
01015,2007,M07,July,4.3,LAUCN010150000000003
01015,2007,M06,June,4.1,LAUCN010150000000003
01015,2007,M05,May,3.3,LAUCN010150000000003
01015,2007,M04,April,3.3,LAUCN010150000000003
01015,2007,M03,March,3.7,LAUCN010150000000003
01015,2007,M02,February,4.1,LAUCN010150000000003
01015,2007,M01,January,4,LAUCN010150000000003
01055,2016,M12,December,5.4,LAUCN010550000000003
01055,2016,M11,November,5.5,LAUCN010550000000003
01055,2016,M10,October,6.1,LAUCN010550000000003
01055,2016,M09,September,6,LAUCN010550000000003
01055,2016,M08,August,6.1,LAUCN010550000000003
01055,2016,M07,July,6,LAUCN010550000000003
01055,2016,M06,June,6.3,LAUCN010550000000003
01055,2016,M05,May,5.4,LAUCN010550000000003
01055,2016,M04,April,5.2,LAUCN010550000000003
01055,2016,M03,March,6.1,LAUCN010550000000003
01055,2016,M02,February,6.4,LAUCN010550000000003
01055,2016,M01,January,6.3,LAUCN010550000000003
01055,2015,M12,December,5.8,LAUCN010550000000003
01055,2015,M11,November,5.9,LAUCN010550000000003
01055,2015,M10,October,6.1,LAUCN010550000000003
01055,2015,M09,September,6,LAUCN010550000000003
01055,2015,M08,August,6.5,LAUCN010550000000003
01055,2015,M07,July,6.6,LAUCN010550000000003
01055,2015,M06,June,6.7,LAUCN010550000000003
01055,2015,M05,May,6,LAUCN010550000000003
01055,2015,M04,April,5.6,LAUCN010550000000003
01055,2015,M03,March,6.1,LAUCN010550000000003
01055,2015,M02,February,6.5,LAUCN010550000000003
01055,2015,M01,January,6.5,LAUCN010550000000003
01055,2014,M12,December,5.7,LAUCN010550000000003
01055,2014,M11,November,5.9,LAUCN010550000000003
01055,2014,M10,October,6.2,LAUCN010550000000003
01055,2014,M09,September,6.3,LAUCN010550000000003
01055,2014,M08,August,7.1,LAUCN010550000000003
01055,2014,M07,July,7.6,LAUCN010550000000003
01055,2014,M06,June,7.6,LAUCN010550000000003
01055,2014,M05,May,6.9,LAUCN010550000000003
01055,2014,M04,April,6.7,LAUCN010550000000003
01055,2014,M03,March,7.9,LAUCN010550000000003
01055,2014,M02,February,8.6,LAUCN010550000000003
01055,2014,M01,January,7.9,LAUCN010550000000003
01055,2013,M12,December,7,LAUCN010550000000003
01055,2013,M11,November,7.1,LAUCN010550000000003
01055,2013,M10,October,7.3,LAUCN010550000000003
01055,2013,M09,September,7.6,LAUCN010550000000003
01055,2013,M08,August,7.8,LAUCN010550000000003
01055,2013,M07,July,7.8,LAUCN010550000000003
01055,2013,M06,June,8,LAUCN010550000000003
01055,2013,M05,May,7,LAUCN010550000000003
01055,2013,M04,April,6.7,LAUCN010550000000003
01055,2013,M03,March,7.5,LAUCN010550000000003
01055,2013,M02,February,8.4,LAUCN010550000000003
01055,2013,M01,January,8.7,LAUCN010550000000003
01055,2012,M12,December,7.5,LAUCN010550000000003
01055,2012,M11,November,7.1,LAUCN010550000000003
01055,2012,M10,October,8.5,LAUCN010550000000003
01055,2012,M09,September,7.9,LAUCN010550000000003
01055,2012,M08,August,8.9,LAUCN010550000000003
01055,2012,M07,July,9.3,LAUCN010550000000003
01055,2012,M06,June,9.2,LAUCN010550000000003
01055,2012,M05,May,7.9,LAUCN010550000000003
01055,2012,M04,April,7.2,LAUCN010550000000003
01055,2012,M03,March,8,LAUCN010550000000003
01055,2012,M02,February,8.7,LAUCN010550000000003
01055,2012,M01,January,8.5,LAUCN010550000000003
01055,2011,M12,December,8.2,LAUCN010550000000003
01055,2011,M11,November,8.3,LAUCN010550000000003
01055,2011,M10,October,9.3,LAUCN010550000000003
01055,2011,M09,September,9.9,LAUCN010550000000003
01055,2011,M08,August,10.3,LAUCN010550000000003
01055,2011,M07,July,10.9,LAUCN010550000000003
01055,2011,M06,June,11.1,LAUCN010550000000003
01055,2011,M05,May,10,LAUCN010550000000003
01055,2011,M04,April,9.6,LAUCN010550000000003
01055,2011,M03,March,10.4,LAUCN010550000000003
01055,2011,M02,February,11.1,LAUCN010550000000003
01055,2011,M01,January,11.4,LAUCN010550000000003
01055,2010,M12,December,10.1,LAUCN010550000000003
01055,2010,M11,November,10.1,LAUCN010550000000003
01055,2010,M10,October,10.1,LAUCN010550000000003
01055,2010,M09,September,10.2,LAUCN010550000000003
01055,2010,M08,August,10.4,LAUCN010550000000003
01055,2010,M07,July,10.5,LAUCN010550000000003
01055,2010,M06,June,10.8,LAUCN010550000000003
01055,2010,M05,May,10.2,LAUCN010550000000003
01055,2010,M04,April,10.7,LAUCN010550000000003
01055,2010,M03,March,12.2,LAUCN010550000000003
01055,2010,M02,February,12.8,LAUCN010550000000003
01055,2010,M01,January,13.2,LAUCN010550000000003
01055,2009,M12,December,11.6,LAUCN010550000000003
01055,2009,M11,November,11.2,LAUCN010550000000003
01055,2009,M10,October,11.7,LAUCN010550000000003
01055,2009,M09,September,11.8,LAUCN010550000000003
01055,2009,M08,August,11.9,LAUCN010550000000003
01055,2009,M07,July,12,LAUCN010550000000003
01055,2009,M06,June,12.5,LAUCN010550000000003
01055,2009,M05,May,11,LAUCN010550000000003
01055,2009,M04,April,10.5,LAUCN010550000000003
01055,2009,M03,March,11.1,LAUCN010550000000003
01055,2009,M02,February,11.6,LAUCN010550000000003
01055,2009,M01,January,10.6,LAUCN010550000000003
01055,2008,M12,December,7.9,LAUCN010550000000003
01055,2008,M11,November,7,LAUCN010550000000003
01055,2008,M10,October,6.6,LAUCN010550000000003
01055,2008,M09,September,6.2,LAUCN010550000000003
01055,2008,M08,August,6.4,LAUCN010550000000003
01055,2008,M07,July,6.4,LAUCN010550000000003
01055,2008,M06,June,6.2,LAUCN010550000000003
01055,2008,M05,May,5.1,LAUCN010550000000003
01055,2008,M04,April,4.2,LAUCN010550000000003
01055,2008,M03,March,5,LAUCN010550000000003
01055,2008,M02,February,5.4,LAUCN010550000000003
01055,2008,M01,January,5.1,LAUCN010550000000003
01055,2007,M12,December,4.7,LAUCN010550000000003
01055,2007,M11,November,4.3,LAUCN010550000000003
01055,2007,M10,October,4.2,LAUCN010550000000003
01055,2007,M09,September,4.5,LAUCN010550000000003
01055,2007,M08,August,4.7,LAUCN010550000000003
01055,2007,M07,July,4.8,LAUCN010550000000003
01055,2007,M06,June,4.8,LAUCN010550000000003
01055,2007,M05,May,3.8,LAUCN010550000000003
01055,2007,M04,April,3.8,LAUCN010550000000003
01055,2007,M03,March,4.4,LAUCN010550000000003
01055,2007,M02,February,4.9,LAUCN010550000000003
01055,2007,M01,January,4.7,LAUCN010550000000003
01073,2016,M12,December,5.3,LAUCN010730000000003
01073,2016,M11,November,5.3,LAUCN010730000000003
01073,2016,M10,October,5.9,LAUCN010730000000003
01073,2016,M09,September,5.9,LAUCN010730000000003
01073,2016,M08,August,5.9,LAUCN010730000000003
01073,2016,M07,July,5.9,LAUCN010730000000003
01073,2016,M06,June,6.1,LAUCN010730000000003
01073,2016,M05,May,5.2,LAUCN010730000000003
01073,2016,M04,April,5.2,LAUCN010730000000003
01073,2016,M03,March,5.8,LAUCN010730000000003
01073,2016,M02,February,6,LAUCN010730000000003
01073,2016,M01,January,6.1,LAUCN010730000000003
01073,2015,M12,December,5.6,LAUCN010730000000003
01073,2015,M11,November,5.5,LAUCN010730000000003
01073,2015,M10,October,5.7,LAUCN010730000000003
01073,2015,M09,September,5.7,LAUCN010730000000003
01073,2015,M08,August,6.1,LAUCN010730000000003
01073,2015,M07,July,6.1,LAUCN010730000000003
01073,2015,M06,June,6.2,LAUCN010730000000003
01073,2015,M05,May,5.6,LAUCN010730000000003
01073,2015,M04,April,5.3,LAUCN010730000000003
01073,2015,M03,March,5.5,LAUCN010730000000003
01073,2015,M02,February,5.9,LAUCN010730000000003
01073,2015,M01,January,5.9,LAUCN010730000000003
01073,2014,M12,December,5.4,LAUCN010730000000003
01073,2014,M11,November,5.6,LAUCN010730000000003
01073,2014,M10,October,5.8,LAUCN010730000000003
01073,2014,M09,September,5.9,LAUCN010730000000003
01073,2014,M08,August,6.5,LAUCN010730000000003
01073,2014,M07,July,6.8,LAUCN010730000000003
01073,2014,M06,June,6.8,LAUCN010730000000003
01073,2014,M05,May,6.1,LAUCN010730000000003
01073,2014,M04,April,5.8,LAUCN010730000000003
01073,2014,M03,March,6.7,LAUCN010730000000003
01073,2014,M02,February,7.1,LAUCN010730000000003
01073,2014,M01,January,7,LAUCN010730000000003
01073,2013,M12,December,6.2,LAUCN010730000000003
01073,2013,M11,November,6.2,LAUCN010730000000003
01073,2013,M10,October,6.5,LAUCN010730000000003
01073,2013,M09,September,6.6,LAUCN010730000000003
01073,2013,M08,August,7,LAUCN010730000000003
01073,2013,M07,July,6.9,LAUCN010730000000003
01073,2013,M06,June,7.1,LAUCN010730000000003
01073,2013,M05,May,6.1,LAUCN010730000000003
01073,2013,M04,April,5.8,LAUCN010730000000003
01073,2013,M03,March,6.6,LAUCN010730000000003
01073,2013,M02,February,7.3,LAUCN010730000000003
01073,2013,M01,January,7.5,LAUCN010730000000003
01073,2012,M12,December,6.7,LAUCN010730000000003
01073,2012,M11,November,6.4,LAUCN010730000000003
01073,2012,M10,October,7.1,LAUCN010730000000003
01073,2012,M09,September,7.1,LAUCN010730000000003
01073,2012,M08,August,8,LAUCN010730000000003
01073,2012,M07,July,8.4,LAUCN010730000000003
01073,2012,M06,June,8.4,LAUCN010730000000003
01073,2012,M05,May,7.4,LAUCN010730000000003
01073,2012,M04,April,6.7,LAUCN010730000000003
01073,2012,M03,March,7.5,LAUCN010730000000003
01073,2012,M02,February,7.9,LAUCN010730000000003
01073,2012,M01,January,7.7,LAUCN010730000000003
01073,2011,M12,December,7.5,LAUCN010730000000003
01073,2011,M11,November,7.7,LAUCN010730000000003
01073,2011,M10,October,8.6,LAUCN010730000000003
01073,2011,M09,September,9.2,LAUCN010730000000003
01073,2011,M08,August,9.7,LAUCN010730000000003
01073,2011,M07,July,10.1,LAUCN010730000000003
01073,2011,M06,June,10.2,LAUCN010730000000003
01073,2011,M05,May,9.3,LAUCN010730000000003
01073,2011,M04,April,9.1,LAUCN010730000000003
01073,2011,M03,March,9.7,LAUCN010730000000003
01073,2011,M02,February,10.2,LAUCN010730000000003
01073,2011,M01,January,10.4,LAUCN010730000000003
01073,2010,M12,December,9.6,LAUCN010730000000003
01073,2010,M11,November,9.9,LAUCN010730000000003
01073,2010,M10,October,9.9,LAUCN010730000000003
01073,2010,M09,September,9.9,LAUCN010730000000003
01073,2010,M08,August,10.1,LAUCN010730000000003
01073,2010,M07,July,10.1,LAUCN010730000000003
01073,2010,M06,June,10.5,LAUCN010730000000003
01073,2010,M05,May,9.8,LAUCN010730000000003
01073,2010,M04,April,10.1,LAUCN010730000000003
01073,2010,M03,March,11,LAUCN010730000000003
01073,2010,M02,February,11.5,LAUCN010730000000003
01073,2010,M01,January,11.6,LAUCN010730000000003
01073,2009,M12,December,10.9,LAUCN010730000000003
01073,2009,M11,November,10.7,LAUCN010730000000003
01073,2009,M10,October,11.4,LAUCN010730000000003
01073,2009,M09,September,11.6,LAUCN010730000000003
01073,2009,M08,August,12.2,LAUCN010730000000003
01073,2009,M07,July,11.6,LAUCN010730000000003
01073,2009,M06,June,11.9,LAUCN010730000000003
01073,2009,M05,May,10.3,LAUCN010730000000003
01073,2009,M04,April,9.6,LAUCN010730000000003
01073,2009,M03,March,10,LAUCN010730000000003
01073,2009,M02,February,9.9,LAUCN010730000000003
01073,2009,M01,January,9,LAUCN010730000000003
01073,2008,M12,December,7,LAUCN010730000000003
01073,2008,M11,November,6.3,LAUCN010730000000003
01073,2008,M10,October,6,LAUCN010730000000003
01073,2008,M09,September,5.7,LAUCN010730000000003
01073,2008,M08,August,6,LAUCN010730000000003
01073,2008,M07,July,5.7,LAUCN010730000000003
01073,2008,M06,June,5.6,LAUCN010730000000003
01073,2008,M05,May,4.7,LAUCN010730000000003
01073,2008,M04,April,3.9,LAUCN010730000000003
01073,2008,M03,March,4.5,LAUCN010730000000003
01073,2008,M02,February,4.7,LAUCN010730000000003
01073,2008,M01,January,4.5,LAUCN010730000000003
01073,2007,M12,December,4.1,LAUCN010730000000003
01073,2007,M11,November,3.7,LAUCN010730000000003
01073,2007,M10,October,3.7,LAUCN010730000000003
01073,2007,M09,September,4,LAUCN010730000000003
01073,2007,M08,August,4.2,LAUCN010730000000003
01073,2007,M07,July,4.2,LAUCN010730000000003
01073,2007,M06,June,4.2,LAUCN010730000000003
01073,2007,M05,May,3.2,LAUCN010730000000003
01073,2007,M04,April,3.2,LAUCN010730000000003
01073,2007,M03,March,3.7,LAUCN010730000000003
01073,2007,M02,February,4,LAUCN010730000000003
01073,2007,M01,January,4,LAUCN010730000000003
01081,2016,M12,December,4.7,LAUCN010810000000003
01081,2016,M11,November,4.7,LAUCN010810000000003
01081,2016,M10,October,5.2,LAUCN010810000000003
01081,2016,M09,September,5.1,LAUCN010810000000003
01081,2016,M08,August,5.4,LAUCN010810000000003
01081,2016,M07,July,5.6,LAUCN010810000000003
01081,2016,M06,June,6,LAUCN010810000000003
01081,2016,M05,May,4.8,LAUCN010810000000003
01081,2016,M04,April,4.7,LAUCN010810000000003
01081,2016,M03,March,5.4,LAUCN010810000000003
01081,2016,M02,February,5.6,LAUCN010810000000003
01081,2016,M01,January,5.6,LAUCN010810000000003
01081,2015,M12,December,5.1,LAUCN010810000000003
01081,2015,M11,November,4.9,LAUCN010810000000003
01081,2015,M10,October,5,LAUCN010810000000003
01081,2015,M09,September,5,LAUCN010810000000003
01081,2015,M08,August,5.7,LAUCN010810000000003
01081,2015,M07,July,5.9,LAUCN010810000000003
01081,2015,M06,June,6,LAUCN010810000000003
01081,2015,M05,May,5.1,LAUCN010810000000003
01081,2015,M04,April,4.6,LAUCN010810000000003
01081,2015,M03,March,4.9,LAUCN010810000000003
01081,2015,M02,February,5.3,LAUCN010810000000003
01081,2015,M01,January,5.5,LAUCN010810000000003
01081,2014,M12,December,4.5,LAUCN010810000000003
01081,2014,M11,November,4.7,LAUCN010810000000003
01081,2014,M10,October,5,LAUCN010810000000003
01081,2014,M09,September,5,LAUCN010810000000003
01081,2014,M08,August,5.9,LAUCN010810000000003
01081,2014,M07,July,6.2,LAUCN010810000000003
01081,2014,M06,June,6.3,LAUCN010810000000003
01081,2014,M05,May,5.3,LAUCN010810000000003
01081,2014,M04,April,5.1,LAUCN010810000000003
01081,2014,M03,March,6.2,LAUCN010810000000003
01081,2014,M02,February,6.4,LAUCN010810000000003
01081,2014,M01,January,6.4,LAUCN010810000000003
01081,2013,M12,December,5.5,LAUCN010810000000003
01081,2013,M11,November,5.3,LAUCN010810000000003
01081,2013,M10,October,5.4,LAUCN010810000000003
01081,2013,M09,September,5.4,LAUCN010810000000003
01081,2013,M08,August,6,LAUCN010810000000003
01081,2013,M07,July,6.3,LAUCN010810000000003
01081,2013,M06,June,6.5,LAUCN010810000000003
01081,2013,M05,May,5.3,LAUCN010810000000003
01081,2013,M04,April,5.1,LAUCN010810000000003
01081,2013,M03,March,6,LAUCN010810000000003
01081,2013,M02,February,6.5,LAUCN010810000000003
01081,2013,M01,January,7,LAUCN010810000000003
01081,2012,M12,December,6.2,LAUCN010810000000003
01081,2012,M11,November,5.7,LAUCN010810000000003
01081,2012,M10,October,6.4,LAUCN010810000000003
01081,2012,M09,September,6.3,LAUCN010810000000003
01081,2012,M08,August,7.2,LAUCN010810000000003
01081,2012,M07,July,7.9,LAUCN010810000000003
01081,2012,M06,June,8.1,LAUCN010810000000003
01081,2012,M05,May,6.7,LAUCN010810000000003
01081,2012,M04,April,6,LAUCN010810000000003
01081,2012,M03,March,6.7,LAUCN010810000000003
01081,2012,M02,February,6.9,LAUCN010810000000003
01081,2012,M01,January,7.1,LAUCN010810000000003
01081,2011,M12,December,6.7,LAUCN010810000000003
